r-ID	Equation in HC-ID	Equation with names	Reaction Category	dG	KEGG	Recon1	References
r1464	HC00032_m + HC00159_c <=> HC00032_c + HC00159_m	Pyruvate(m) + Acetoacetate(c) <=> Pyruvate(c) + Acetoacetate(m)	Unspecified	0		 	
r1465	2 HC00011_c + HC00013_c + HC00400_c <=> HC00014_c + HC00017_c + HC00338_c	2 H2O(c) + NAD+(c) + Oleoyl-CoA(c) <=> NADH(c) + O2(c) + Stearoyl-CoA(c)	EC:1.14.19.1			 -DESAT18_3	
r1466	HC00086_r + 4 HC00015_r + HC00017_r + HC01985_r <=> HC00021_r + HC00020_r + HC02102_r + 3 HC00011_r + 4 HC00016_r	Malonyl-CoA(r) + 4 NADPH(r) + O2(r) + gamma-Linolenoyl-CoA(r) <=> CO2(r) + CoA(r) + Dihomo-gamma-linolenoyl-CoA(r) + 3 H2O(r) + 4 NADP+(r)	EC:2.3.1.86			 	
r1467	HC00400_c <=> HC00400_m	Oleoyl-CoA(c) <=> Oleoyl-CoA(m)	Unspecified	0		 	
r1468	HC10852_c <=> HC10852_m	palmitoleoyl-CoA(c) <=> palmitoleoyl-CoA(m)	Unspecified	0		 	
r1469	HC01983_c + HC00014_c + HC00017_c <=> HC01985_c + HC00011_c + HC00013_c	Linoleoyl-CoA(c) + NADH(c) + O2(c) <=> gamma-Linolenoyl-CoA(c) + H2O(c) + NAD+(c)	Uncategorized reaction			 	
r1470	HC02102_c + HC00014_c + HC00017_c <=> HC01986_c + HC00011_c + HC00013_c	Dihomo-gamma-linolenoyl-CoA(c) + NADH(c) + O2(c) <=> Arachidonyl-CoA(c) + H2O(c) + NAD+(c)	Uncategorized reaction			 	
r1471	HC00026_m + HC10784_m <=> HC00770_m + HC12594_m	FAD(m) + cis-myrist-7-enoyl-CoA(m) <=> FADH2(m) + trans,cis-myristo-2,7-dienoyl-CoA(m)	Uncategorized reaction			 	
r1472	HC00026_m + HC00400_m <=> HC00770_m + HC10856_m	FAD(m) + Oleoyl-CoA(m) <=> FADH2(m) + trans,cis-octadeca-2,9-dienoyl-CoA(m)	Uncategorized reaction			 	
r1473	HC00026_m + HC10852_m <=> HC00770_m + HC12591_m	FAD(m) + palmitoleoyl-CoA(m) <=> FADH2(m) + trans,cis-hexadeca-2,9-dienoyl-CoA(m)	Uncategorized reaction			 	
r1474	HC00011_m + HC10856_m <=> HC10857_m	H2O(m) + trans,cis-octadeca-2,9-dienoyl-CoA(m) <=> (S)-3-hydroxyoleyleoyl-CoA(m)	Uncategorized reaction			 	
r1475	HC00011_m + HC12591_m <=> HC12592_m	H2O(m) + trans,cis-hexadeca-2,9-dienoyl-CoA(m) <=> (S)-3-hydroxypalmitoleoyl-CoA(m)	Uncategorized reaction			 	
r1476	HC00013_m + HC11102_m <=> HC10782_m + HC00014_m	NAD+(m) + cis-(3S)-hydroxytetradec-7-enoyl-CoA(m) <=> 3-oxomyrist-7-enoyl-CoA(m) + NADH(m)	Uncategorized reaction			 	
r1477	HC00013_m + HC10857_m <=> HC00014_m + HC10858_m	NAD+(m) + (S)-3-hydroxyoleyleoyl-CoA(m) <=> NADH(m) + 3-oxooleoyl-CoA(m)	Uncategorized reaction			 	
r1478	HC00013_m + HC12592_m <=> HC00014_m + HC10853_m	NAD+(m) + (S)-3-hydroxypalmitoleoyl-CoA(m) <=> NADH(m) + 3-oxopalmitoleoyl-CoA(m)	Uncategorized reaction			 	
r1479	HC00020_m + HC10692_m <=> HC00033_m + HC01022_m	CoA(m) + 3-oxolaur-cis-5-enoyl-CoA(m) <=> Acetyl-CoA(m) + (3Z)-Dodecenoyl-CoA(m)	Uncategorized reaction			 	
r1480	HC00020_m + HC10853_m <=> HC00033_m + HC10784_m	CoA(m) + 3-oxopalmitoleoyl-CoA(m) <=> Acetyl-CoA(m) + cis-myrist-7-enoyl-CoA(m)	Uncategorized reaction			 	
r1481	HC00020_m + HC10858_m <=> HC00033_m + HC10852_m	CoA(m) + 3-oxooleoyl-CoA(m) <=> Acetyl-CoA(m) + palmitoleoyl-CoA(m)	Uncategorized reaction			 	
r1482	HC00770_m + HC12596_m <=> HC00026_m + HC10695_m	FADH2(m) + trans,cis-dodeca-2,5-dienoyl-CoA(m) <=> FAD(m) + cis-laur-5-enoyl-CoA(m)	Uncategorized reaction			 	
r1483	HC00011_m + HC12594_m <=> HC11102_m	H2O(m) + trans,cis-myristo-2,7-dienoyl-CoA(m) <=> cis-(3S)-hydroxytetradec-7-enoyl-CoA(m)	Uncategorized reaction			 	
r1484	HC00020_m + HC10782_m <=> HC00033_m + HC10695_m	CoA(m) + 3-oxomyrist-7-enoyl-CoA(m) <=> Acetyl-CoA(m) + cis-laur-5-enoyl-CoA(m)	Uncategorized reaction			 	
r1485	HC00011_m + HC12596_m <=> HC12597_m	H2O(m) + trans,cis-dodeca-2,5-dienoyl-CoA(m) <=> 3(S)-3-hydroxydodecen-(5Z)-oyl-CoA(m)	Uncategorized reaction			 	
r1486	HC00013_m + HC12597_m <=> HC10692_m + HC00014_m	NAD+(m) + 3(S)-3-hydroxydodecen-(5Z)-oyl-CoA(m) <=> 3-oxolaur-cis-5-enoyl-CoA(m) + NADH(m)	Uncategorized reaction			 	
r1487	HC00012_r + HC00020_r + HC01981_r <=> HC00030_r + HC10852_r + HC00023_r	ATP(r) + CoA(r) + Palmitolate(r) <=> AMP(r) + palmitoleoyl-CoA(r) + PPi(r)	EC:6.2.1.3			 	PMID:8584017
r1488	HC00012_c + HC00020_c + HC01981_c <=> HC00030_c + HC10852_c + HC00023_c	ATP(c) + CoA(c) + Palmitolate(c) <=> AMP(c) + palmitoleoyl-CoA(c) + PPi(c)	EC:6.2.1.3			 	PMID:8584017
r1489	HC00012_c + HC00011_c + 3 HC00763_c + 2 HC00216_s --> HC00018_c + HC00019_c + 3 HC00763_s + 2 HC00216_c	ATP(c) + H2O(c) + 3 Na+(c) + 2 K+(s) --> ADP(c) + Pi(c) + 3 Na+(s) + 2 K+(c)	TCDB:3.A.3.1.1	-39.16		 NaKt	DOI:10.1002/9780470691861
r1490	HC00763_s + HC00083_c --> HC00763_c + HC00083_s	Na+(s) + H+(PG)(c) --> Na+(c) + H+(PG)(s)	TCDB:2.A.36.1.1	0		 -NAt3_1	DOI:10.1002/9780470691861 UNIPROT:P19634
r1491	HC00763_s + HC00253_s --> HC00763_c + HC00253_c	Na+(s) + HCO3-(s) --> Na+(c) + HCO3-(c)	TCDB:2.A.31.2.1	0		 HCO3_NAt	DOI:10.1002/9780470691861 UNIPROT:Q9Y6M7
r1492	HC00216_c --> HC00216_s	K+(c) --> K+(s)	Utilized transport	0		 	DOI:10.1002/9780470691861
r1493	HC00056_c --> HC00056_s	GSH(c) --> GSH(s)	Utilized transport	0		 	PMID:15845416
r1494	HC00863_s + 2 HC00763_s --> HC00863_c + 2 HC00763_c	Glycocholate(s) + 2 Na+(s) --> Glycocholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 GCHOLAt2	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1495	HC00958_s + 2 HC00763_s --> HC00958_c + 2 HC00763_c	Chenodiol(s) + 2 Na+(s) --> Chenodiol(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1496	HC01378_s + 2 HC00763_s --> HC01378_c + 2 HC00763_c	Taurocholate(s) + 2 Na+(s) --> Taurocholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 TCHOLAt2	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1497	HC01471_s + 2 HC00763_s --> HC01471_c + 2 HC00763_c	Taurochenodeoxycholate(s) + 2 Na+(s) --> Taurochenodeoxycholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1498	HC01472_s + 2 HC00763_s --> HC01472_c + 2 HC00763_c	Glycochenodeoxycholate(s) + 2 Na+(s) --> Glycochenodeoxycholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1499	HC02192_s + 2 HC00763_s --> HC02192_c + 2 HC00763_c	taurolithocholate(s) + 2 Na+(s) --> taurolithocholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1500	HC02193_s + 2 HC00763_s --> HC02193_c + 2 HC00763_c	glycolithocholate(s) + 2 Na+(s) --> glycolithocholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1501	HC02195_s + 2 HC00763_s --> HC02195_c + 2 HC00763_c	tauroursodeoxycholate(s) + 2 Na+(s) --> tauroursodeoxycholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1502	HC02196_s + 2 HC00763_s --> HC02196_c + 2 HC00763_c	glycoursodeoxycholate(s) + 2 Na+(s) --> glycoursodeoxycholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1503	HC02220_s + 2 HC00763_s --> HC02220_c + 2 HC00763_c	sulfochenodeoxycholate(s) + 2 Na+(s) --> sulfochenodeoxycholate(c) + 2 Na+(c)	TCDB:2.A.28.1.1	0		 	PMID:11076396 PMID:11819755 PMID:17404808 PMID:6384004
r1504	HC00863_c + HC00012_c + HC00011_c --> HC00863_b + HC00018_c + HC00019_c	Glycocholate(c) + ATP(c) + H2O(c) --> Glycocholate(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.2	-39.16		 GCHOLAt3	PMID:12663868 PMID:17404808 PMID:11076396
r1505	HC01378_c + HC00012_c + HC00011_c --> HC01378_b + HC00018_c + HC00019_c	Taurocholate(c) + ATP(c) + H2O(c) --> Taurocholate(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.2	-39.16		 TCHOLAt3	PMID:12663868 PMID:17404808 PMID:11076396
r1506	HC01471_c + HC00012_c + HC00011_c --> HC01471_b + HC00018_c + HC00019_c	Taurochenodeoxycholate(c) + ATP(c) + H2O(c) --> Taurochenodeoxycholate(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.2	-39.16		 	PMID:12663868 PMID:17404808 PMID:11076396
r1507	HC01472_c + HC00012_c + HC00011_c --> HC01472_b + HC00018_c + HC00019_c	Glycochenodeoxycholate(c) + ATP(c) + H2O(c) --> Glycochenodeoxycholate(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.2	-39.16		 	PMID:12663868 PMID:17404808 PMID:11076396
r1508	HC00178_c + HC00012_c + HC00011_c --> HC00178_b + HC00018_c + HC00019_c	Cholesterol(c) + ATP(c) + H2O(c) --> Cholesterol(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.3 	-39.16		 CHSTEROLt	PMID:12663868 PMID:16622704 PMID:17404808
r1509	HC02002_c + HC00012_c + HC00011_c --> HC02002_b + HC00018_c + HC00019_c	PE-VLDL-pool(c) + ATP(c) + H2O(c) --> PE-VLDL-pool(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.3 	-39.16		 	PMID:12663868 PMID:16622704 PMID:17404808
r1510	HC02007_c + HC00012_c + HC00011_c --> HC02007_b + HC00018_c + HC00019_c	SM-pool(c) + ATP(c) + H2O(c) --> SM-pool(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.3 	-39.16		 	PMID:12663868 PMID:16622704 PMID:17404808
r1511	HC02080_c + HC00012_c + HC00011_c --> HC02080_b + HC00018_c + HC00019_c	Bile-PC-pool(c) + ATP(c) + H2O(c) --> Bile-PC-pool(b) + ADP(c) + Pi(c)	TCDB:3.A.1.201.3 	-39.16		 PCt	PMID:12663868 PMID:16622704 PMID:17404808
r1512	HC00385_s --> HC00385_c	Bilirubin(s) --> Bilirubin(c)	Utilized transport	0		 	PMID:12883891 PMID:12856180 PMID:11023036 PMID:1554704 PMID:18021224 PMID:4553030 PMID:793184 PMID:8725559 PMID:8781017 PMID:12739169
r1513	HC00178_c + HC00012_c + HC00011_c --> HC00178_s + HC00018_c + HC00019_c	Cholesterol(c) + ATP(c) + H2O(c) --> Cholesterol(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 CHSTEROLt	PMID:16858612
r1514	HC00202_c + HC00012_c + HC00011_c --> HC00202_s + HC00018_c + HC00019_c	Arachidonate(c) + ATP(c) + H2O(c) --> Arachidonate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1515	HC00226_c + HC00012_c + HC00011_c --> HC00226_s + HC00018_c + HC00019_c	Palmitate(c) + ATP(c) + H2O(c) --> Palmitate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1516	HC00510_c + HC00012_c + HC00011_c --> HC00510_s + HC00018_c + HC00019_c	Oleate(c) + ATP(c) + H2O(c) --> Oleate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1517	HC00793_c + HC00012_c + HC00011_c --> HC00793_s + HC00018_c + HC00019_c	Stearate(c) + ATP(c) + H2O(c) --> Stearate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1518	HC00796_c + HC00012_c + HC00011_c --> HC00796_s + HC00018_c + HC00019_c	Linoleate(c) + ATP(c) + H2O(c) --> Linoleate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1519	HC00830_c + HC00012_c + HC00011_c --> HC00830_s + HC00018_c + HC00019_c	Elaidate(c) + ATP(c) + H2O(c) --> Elaidate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1520	HC01757_c + HC00012_c + HC00011_c --> HC01757_s + HC00018_c + HC00019_c	gamma-Linolenate(c) + ATP(c) + H2O(c) --> gamma-Linolenate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1521	HC01758_c + HC00012_c + HC00011_c --> HC01758_s + HC00018_c + HC00019_c	Linolenate(c) + ATP(c) + H2O(c) --> Linolenate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1522	HC01788_c + HC00012_c + HC00011_c --> HC01788_s + HC00018_c + HC00019_c	Lignocerate(c) + ATP(c) + H2O(c) --> Lignocerate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1523	HC01981_c + HC00012_c + HC00011_c --> HC01981_s + HC00018_c + HC00019_c	Palmitolate(c) + ATP(c) + H2O(c) --> Palmitolate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1524	HC02000_c + HC00012_c + HC00011_c --> HC02000_s + HC00018_c + HC00019_c	PC-VLDL-pool(c) + ATP(c) + H2O(c) --> PC-VLDL-pool(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 PCt	PMID:16858612
r1525	HC02100_c + HC00012_c + HC00011_c --> HC02100_s + HC00018_c + HC00019_c	Dihomo-gamma-linolenate(c) + ATP(c) + H2O(c) --> Dihomo-gamma-linolenate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1526	HC02154_c + HC00012_c + HC00011_c --> HC02154_s + HC00018_c + HC00019_c	GM4-pool(c) + ATP(c) + H2O(c) --> GM4-pool(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1527	HC02175_c + HC00012_c + HC00011_c --> HC02175_s + HC00018_c + HC00019_c	decanoic-acid(c) + ATP(c) + H2O(c) --> decanoic-acid(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1528	HC02176_c + HC00012_c + HC00011_c --> HC02176_s + HC00018_c + HC00019_c	lauric-acid(c) + ATP(c) + H2O(c) --> lauric-acid(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1529	HC02177_c + HC00012_c + HC00011_c --> HC02177_s + HC00018_c + HC00019_c	myristic-acid(c) + ATP(c) + H2O(c) --> myristic-acid(s) + ADP(c) + Pi(c)	TCDB:3.A.1.211.1	-39.16		 	PMID:16858612
r1530	HC00056_c + HC00012_c + HC00011_c --> HC00056_s + HC00018_c + HC00019_c	GSH(c) + ATP(c) + H2O(c) --> GSH(s) + ADP(c) + Pi(c)	TCDB:3.A.1.208.15	-39.16		 	DOI:10.1002/9780470691861
r1531	HC02199_c + HC00012_c + HC00011_c --> HC02199_s + HC00018_c + HC00019_c	glutathionyl-leuc4(c) + ATP(c) + H2O(c) --> glutathionyl-leuc4(s) + ADP(c) + Pi(c)	TCDB:3.A.1.208.15	-39.16		 	DOI:10.1002/9780470691861
r1532	HC02200_c + HC00012_c + HC00011_c --> HC02200_s + HC00018_c + HC00019_c	S-glutathionyl-2-4-dinitrobenzene(c) + ATP(c) + H2O(c) --> S-glutathionyl-2-4-dinitrobenzene(s) + ADP(c) + Pi(c)	TCDB:3.A.1.208.15	-39.16		 	DOI:10.1002/9780470691861
r1533	HC02201_c + HC00012_c + HC00011_c --> HC02201_s + HC00018_c + HC00019_c	S-glutathionyl-ethacrynic-acid(c) + ATP(c) + H2O(c) --> S-glutathionyl-ethacrynic-acid(s) + ADP(c) + Pi(c)	TCDB:3.A.1.208.15	-39.16		 	DOI:10.1002/9780470691861
r1534	HC00863_c + HC00012_c + HC00011_c --> HC00863_s + HC00018_c + HC00019_c	Glycocholate(c) + ATP(c) + H2O(c) --> Glycocholate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.208.7	-39.16		 GCHOLAt3	PMID:16586096
r1535	HC01378_c + HC00012_c + HC00011_c --> HC01378_s + HC00018_c + HC00019_c	Taurocholate(c) + ATP(c) + H2O(c) --> Taurocholate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.208.7	-39.16		 TCHOLAt3	PMID:16586096
r1536	HC00310_c + HC00012_c + HC00011_c --> HC00310_s + HC00018_c + HC00019_c	Urate(c) + ATP(c) + H2O(c) --> Urate(s) + ADP(c) + Pi(c)	TCDB:3.A.1.208.7	-39.16		 	PMID:16586096
r1537	HC00055_s + 3 HC00763_s + HC00083_s + HC00216_c --> HC00055_c + 3 HC00763_c + HC00083_c + HC00216_s	Aspartate(s) + 3 Na+(s) + H+(PG)(s) + K+(c) --> Aspartate(c) + 3 Na+(c) + H+(PG)(c) + K+(s)	TCDB:2.A.23.2.3	0		 ASPt6	PMID:14530974
r1538	HC00253_s + 2 HC00763_s --> HC00253_c + 2 HC00763_c	HCO3-(s) + 2 Na+(s) --> HCO3-(c) + 2 Na+(c)	TCDB:2.A.31.2.8	0		 	PMID:14722772
r1539	HC00040_s + HC00763_s --> HC00040_c + HC00763_c	Glucose(s) + Na+(s) --> Glucose(c) + Na+(c)	TCDB:2.A.21.3.6	0		 GLCt4	PMID:12748858
r1540	HC00222_s + HC00763_s + HC00113_s --> HC00222_c + HC00763_c + HC00113_c	Taurine(s) + Na+(s) + Chloride(s) --> Taurine(c) + Na+(c) + Chloride(c)	TCDB:2.A.22.3.3	0		 	PMID:12719981
r1541	HC00045_s + 2 HC00763_s + HC00113_s --> HC00045_c + 2 HC00763_c + HC00113_c	Glycine(s) + 2 Na+(s) + Chloride(s) --> Glycine(c) + 2 Na+(c) + Chloride(c)	TCDB:2.A.22.2.2	0		 GLYt7(211)r	PMID:12719981
r1542	HC00079_s <=> HC00079_c	Ornithine(s) <=> Ornithine(c)	TCDB:2.A.3.3.2	0		 	PMID:14770310 PMID:11004451 PMID:15465786 PMID:16082501 PMID:17466261 PMID:7718542 PMID:10049700 PMID:10072483 PMID:10391915 PMID:10574970 PMID:11311135 PMID:11389679 PMID:11557028 PMID:11564694 PMID:11742812 PMID:11827462 PMID:12117417 PMID:12824232 PMID:14574404 PMID:7690540 PMID:9751058 PMID:9759917 PMID:12883891 PMID:16288981 PMID:1904693 PMID:4424190 PMID:6432599 PMID:9868191
r1543	HC00045_s + HC00048_c <=> HC00045_c + HC00048_s	Glycine(s) + Alanine(c) <=> Glycine(c) + Alanine(s)	TCDB:2.A.3.8.1	0		 -ALAGLYexR	PMID:14770309 PMID:14770310
r1544	HC00045_s + HC00067_c <=> HC00045_c + HC00067_s	Glycine(s) + Glutamine(c) <=> Glycine(c) + Glutamine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1545	HC00045_s + HC00068_c <=> HC00045_c + HC00068_s	Glycine(s) + Serine(c) <=> Glycine(c) + Serine(s)	TCDB:2.A.3.8.1	0		 -SERGLYexR	PMID:14770309 PMID:14770310
r1546	HC00045_s + HC00075_c <=> HC00045_c + HC00075_s	Glycine(s) + Methionine(c) <=> Glycine(c) + Methionine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1547	HC00045_s + HC00080_c <=> HC00045_c + HC00080_s	Glycine(s) + Tryptophan(c) <=> Glycine(c) + Tryptophan(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1548	HC00045_s + HC00081_c <=> HC00045_c + HC00081_s	Glycine(s) + Phenylalanine(c) <=> Glycine(c) + Phenylalanine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1549	HC00045_s + HC00085_c <=> HC00045_c + HC00085_s	Glycine(s) + Tyrosine(c) <=> Glycine(c) + Tyrosine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1550	HC00045_s + HC00099_c <=> HC00045_c + HC00099_s	Glycine(s) + Cysteine(c) <=> Glycine(c) + Cysteine(s)	TCDB:2.A.3.8.1	0		 CYSGLYex	PMID:14770309 PMID:14770310
r1551	HC00045_s + HC00121_c <=> HC00045_c + HC00121_s	Glycine(s) + Leucine(c) <=> Glycine(c) + Leucine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1552	HC00045_s + HC00145_c <=> HC00045_c + HC00145_s	Glycine(s) + Proline(c) <=> Glycine(c) + Proline(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1553	HC00045_s + HC00148_c <=> HC00045_c + HC00148_s	Glycine(s) + Asparagine(c) <=> Glycine(c) + Asparagine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1554	HC00045_s + HC00174_c <=> HC00045_c + HC00174_s	Glycine(s) + Valine(c) <=> Glycine(c) + Valine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1555	HC00045_s + HC00179_c <=> HC00045_c + HC00179_s	Glycine(s) + Threonine(c) <=> Glycine(c) + Threonine(s)	TCDB:2.A.3.8.1	0		 -THRGLYexR	PMID:14770309 PMID:14770310
r1556	HC00045_s + HC00239_c <=> HC00045_c + HC00239_s	Glycine(s) + Homoserine(c) <=> Glycine(c) + Homoserine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1557	HC00045_s + HC00334_c <=> HC00045_c + HC00334_s	Glycine(s) + Isoleucine(c) <=> Glycine(c) + Isoleucine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1558	HC00048_s + HC00067_c <=> HC00048_c + HC00067_s	Alanine(s) + Glutamine(c) <=> Alanine(c) + Glutamine(s)	TCDB:2.A.3.8.1	0		 ALAGLNexR	PMID:14770309 PMID:14770310
r1559	HC00048_s + HC00068_c <=> HC00048_c + HC00068_s	Alanine(s) + Serine(c) <=> Alanine(c) + Serine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1560	HC00048_s + HC00075_c <=> HC00048_c + HC00075_s	Alanine(s) + Methionine(c) <=> Alanine(c) + Methionine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1561	HC00048_s + HC00080_c <=> HC00048_c + HC00080_s	Alanine(s) + Tryptophan(c) <=> Alanine(c) + Tryptophan(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1562	HC00048_s + HC00081_c <=> HC00048_c + HC00081_s	Alanine(s) + Phenylalanine(c) <=> Alanine(c) + Phenylalanine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1563	HC00048_s + HC00085_c <=> HC00048_c + HC00085_s	Alanine(s) + Tyrosine(c) <=> Alanine(c) + Tyrosine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1564	HC00048_s + HC00099_c <=> HC00048_c + HC00099_s	Alanine(s) + Cysteine(c) <=> Alanine(c) + Cysteine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1565	HC00048_s + HC00121_c <=> HC00048_c + HC00121_s	Alanine(s) + Leucine(c) <=> Alanine(c) + Leucine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1566	HC00048_s + HC00145_c <=> HC00048_c + HC00145_s	Alanine(s) + Proline(c) <=> Alanine(c) + Proline(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1567	HC00048_s + HC00148_c <=> HC00048_c + HC00148_s	Alanine(s) + Asparagine(c) <=> Alanine(c) + Asparagine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1568	HC00048_s + HC00174_c <=> HC00048_c + HC00174_s	Alanine(s) + Valine(c) <=> Alanine(c) + Valine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1569	HC00048_s + HC00179_c <=> HC00048_c + HC00179_s	Alanine(s) + Threonine(c) <=> Alanine(c) + Threonine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1570	HC00048_s + HC00239_c <=> HC00048_c + HC00239_s	Alanine(s) + Homoserine(c) <=> Alanine(c) + Homoserine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1571	HC00048_s + HC00334_c <=> HC00048_c + HC00334_s	Alanine(s) + Isoleucine(c) <=> Alanine(c) + Isoleucine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1572	HC00067_s + HC00068_c <=> HC00067_c + HC00068_s	Glutamine(s) + Serine(c) <=> Glutamine(c) + Serine(s)	TCDB:2.A.3.8.1	0		 -SERGLNexR	PMID:14770309 PMID:14770310
r1573	HC00067_s + HC00075_c <=> HC00067_c + HC00075_s	Glutamine(s) + Methionine(c) <=> Glutamine(c) + Methionine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1574	HC00067_s + HC00080_c <=> HC00067_c + HC00080_s	Glutamine(s) + Tryptophan(c) <=> Glutamine(c) + Tryptophan(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1575	HC00067_s + HC00081_c <=> HC00067_c + HC00081_s	Glutamine(s) + Phenylalanine(c) <=> Glutamine(c) + Phenylalanine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1576	HC00067_s + HC00085_c <=> HC00067_c + HC00085_s	Glutamine(s) + Tyrosine(c) <=> Glutamine(c) + Tyrosine(s)	TCDB:2.A.3.8.1	0		 	PMID:14770309 PMID:14770310
r1577	HC00067_s + HC00099_c <=> HC00067_c + HC00099_s	Glutamine(s) + Cysteine(c) <=> Glutamine(c) + Cysteine(s)	TCDB:2.A.3.8.1	0		 -CYSGLUexR	PMID:14770309 PMID:14770310
